log(ac) Dosage  Sex
2.636	0	Male
2.736	0	Male
2.775	0	Male
2.672	0	Male
2.653	0	Male
2.569	0	Male
2.737	0	Male
2.588	0	Male
2.735 	0	Male
2.444	3	Male
2.744	3	Male
2.207	3	Male
2.851	3	Male
2.533	3	Male
2.630	3	Male
2.688	3	Male
2.665	3	Male
2.517	3	Male
2.769	3	Male
2.694	6	Male
2.845	6	Male
2.865	6	Male
3.001	6	Male
3.043	6	Male
3.066	6	Male
2.747	6	Male
2.894	6	Male
1.851	6	Male
2.489	6	Male
2.494	0	Female
2.723	0	Female
2.841	0	Female
2.620	0	Female
2.682	0	Female
2.644	0	Female
2.684	0	Female
2.607	0	Female	
2.591	0	Female	
2.737	0	Female	
2.220	3	Female	
2.371	3	Female	
2.679	3	Female	
2.591	3	Female
2.942	3	Female
2.473	3	Female
2.814	3	Female
2.622 	3	Female
2.730	3	Female
2.955	3	Female
2.540	6	Female
3.113	6	Female
2.468	6	Female
2.606	6	Female
2.764	6	Female
2.859	6	Female	
2.763	6	Female
3.000	6	Female
3.111	6	Female
2.858	6	Female
